country,coordinates,landlocked,language,area,island,border_countries,ISO3
Gabon,1 00 S 11 45 E,No,French,267667.0,No,"['CMR', 'GNQ']",GAB
Gambia The,13 28 N 16 34 W,No,English,11300.0,No,SEN,GMB
Georgia,42 00 N 43 30 E,No,Georgian,69700.0,No,"['ARM', 'AZE', 'RUS', 'TUR']",GEO
Germany,51 00 N 9 00 E,No,German,357022.0,No,"['AUT', 'CZE', 'DNK', 'FRA', 'NLD', 'POL', 'CHE']",DEU
Ghana,8 00 N 2 00 W,No,Asante,238533.0,No,"['BFA', 'CIV', 'TGO']",GHA
Greece,39 00 N 22 00 E,No,Greek,131957.0,No,"['ALB', 'BGR', 'MKD', 'TUR']",GRC
Grenada,12 07 N 61 40 W,No,English,344.0,Yes,nan,GRD
Guatemala,15 30 N 90 15 W,No,Spanish,108889.0,No,"['BLZ', 'SLV', 'HND', 'MEX']",GTM
Guinea,11 00 N 10 00 W,No,French,245857.0,No,"['CIV', 'GNB', 'LBR', 'MLI', 'SEN', 'SLE']",GIN
Guinea-Bissau,12 00 N 15 00 W,No,Portuguese-based,36125.0,No,"['GIN', 'SEN']",GNB
Guyana,5 00 N 59 00 W,No,English,214969.0,No,"['BRA', 'SUR', 'VEN']",GUY
Haiti,19 00 N 72 25 W,No,French,27750.0,No,DOM,HTI
Honduras,15 00 N 86 30 W,No,Spanish,112090.0,No,"['SLV', 'GTM', 'NIC']",HND
Hong Kong,22 15 N 114 10 E,No,Cantonese,1108.0,No,CHN,HKG
Hungary,47 00 N 20 00 E,Yes,Hungarian,93028.0,No,"['AUT', 'HRV', 'ROU', 'SRB', 'SVK', 'SVN', 'UKR']",HUN
Iceland,65 00 N 18 00 W,No,Icelandic,103000.0,Yes,nan,ISL
India,20 00 N 77 00 E,No,Hindi,3287263.0,No,"['BGD', 'BTN', 'CHN', 'MMR', 'NPL', 'PAK']",IND
Indonesia,5 00 S 120 00 E,No,Bahasa,1904569.0,No,"['MYS', 'PNG', 'TLS']",IDN
Iran,32 00 N 53 00 E,No,Persian,1648195.0,No,"['AFG', 'ARM', 'AZE', 'IRQ', 'PAK', 'TUR']",IRN
Iraq,33 00 N 44 00 E,No,Arabic,438317.0,No,"['IRN', 'JOR', 'KWT', 'SAU', 'SYR', 'TUR']",IRQ
Ireland,53 00 N 8 00 W,No,English,70273.0,No,GBR,IRL
Israel,31 30 N 34 45 E,No,Hebrew,21937.0,No,"['EGY', 'JOR', 'LBN', 'PSE', 'SYR']",ISR
Italy,42 50 N 12 50 E,No,Italian,301340.0,No,"['AUT', 'FRA', 'SMR', 'SVN', 'CHE', 'VAT']",ITA
Jamaica,18 15 N 77 30 W,No,English,10991.0,Yes,nan,JAM
Japan,36 00 N 138 00 E,No,Japanesemajor-language,377915.0,Yes,nan,JPN
Jordan,31 00 N 36 00 E,No,Arabic,89342.0,No,"['IRQ', 'ISR', 'PSE', 'SAU', 'SYR']",JOR
Kazakhstan,48 00 N 68 00 E,Yes,Kazakh,2724900.0,No,"['CHN', 'KGZ', 'RUS', 'UZB']",KAZ
Kenya,1 00 N 38 00 E,No,English,580367.0,No,"['ETH', 'SOM', 'SSD', 'TZA', 'UGA']",KEN
Kiribati,1 25 N 173 00 E,No,Gilbertese,811.0,Yes,nan,KIR
Korea South,37 00 N 127 30 E,No,Korean,99720.0,No,PRK,KOR
Kuwait,29 30 N 45 45 E,No,Arabic,17818.0,No,"['IRQ', 'SAU']",KWT
Kyrgyzstan,41 00 N 75 00 E,Yes,Kyrgyz,199951.0,No,"['CHN', 'KAZ', 'TJK', 'UZB']",KGZ
Laos,18 00 N 105 00 E,Yes,Lao,236800.0,No,"['KHM', 'CHN', 'MMR', 'THA', 'VNM']",LAO
Latvia,57 00 N 25 00 E,No,Latvian,64589.0,No,"['BLR', 'EST', 'LTU', 'RUS']",LVA
Lebanon,33 50 N 35 50 E,No,Arabic,10400.0,No,"['ISR', 'SYR']",LBN
Lesotho,29 30 S 28 30 E,Yes,Sesotho,30355.0,No,ZAF,LSO
Liberia,6 30 N 9 30 W,No,English,111369.0,No,"['CIV', 'GIN', 'SLE']",LBR
Libya,25 00 N 17 00 E,No,Arabic,1759540.0,No,"['DZA', 'TCD', 'EGY', 'NER', 'SDN', 'TUN']",LBY
Lithuania,56 00 N 24 00 E,No,Lithuanian,65300.0,No,"['BLR', 'LVA', 'POL', 'RUS']",LTU
Luxembourg,49 45 N 6 10 E,Yes,Luxembourgish,2586.0,No,"['BEL', 'FRA', 'DEU']",LUX
Madagascar,20 00 S 47 00 E,No,Malagasy,587041.0,Yes,nan,MDG
Malawi,13 30 S 34 00 E,Yes,English,118484.0,No,"['MOZ', 'TZA', 'ZMB']",MWI
Malaysia,2 30 N 112 30 E,No,Bahasa,329847.0,No,"['BRN', 'IDN', 'THA']",MYS
Maldives,3 15 N 73 00 E,No,Dhivehi,298.0,Yes,nan,MDV
Mali,17 00 N 4 00 W,Yes,French,1240192.0,No,"['DZA', 'BFA', 'CIV', 'GIN', 'MRT', 'NER', 'SEN']",MLI
Malta,35 50 N 14 35 E,No,Maltese,316.0,Yes,nan,MLT
Mauritania,20 00 N 12 00 W,No,Arabic,1030700.0,No,"['DZA', 'MLI', 'MAR', 'SEN']",MRT
Mauritius,20 17 S 57 33 E,No,Creole,2040.0,Yes,nan,MUS
Mexico,23 00 N 102 00 W,No,Spanish,1964375.0,No,"['BLZ', 'GTM']",MEX
Moldova,47 00 N 29 00 E,Yes,Moldovan/Romanian,33851.0,No,"['ROU', 'UKR']",MDA
