,Unnamed: 0,country,coordinates,landlocked,language,area,island,border_countries,ISO3,Latitude,Longitude
98,98,Maldives,3 15 N 73 00 E,0,Dhivehi,298.0,1,,MDV,3.7203503,73.2244152
99,99,Mali,17 00 N 4 00 W,1,French,1240192.0,0,"['DZA', 'BFA', 'CIV', 'GIN', 'MRT', 'NER', 'SEN']",MLI,16.3700359,-2.2900239
100,100,Malta,35 50 N 14 35 E,0,Maltese,316.0,1,,MLT,35.8885993,14.4476911
101,101,Mauritania,20 00 N 12 00 W,0,Arabic,1030700.0,0,"['DZA', 'MLI', 'MAR', 'SEN']",MRT,20.2540382,-9.2399263
102,102,Mauritius,20 17 S 57 33 E,0,Creole,2040.0,1,,MUS,-20.2759451,57.5703566
103,103,Mexico,23 00 N 102 00 W,0,Spanish,1964375.0,0,"['BLZ', 'GTM']",MEX,23.6585116,-102.0077097
104,104,Moldova,47 00 N 29 00 E,1,Moldovan/Romanian,33851.0,0,"['ROU', 'UKR']",MDA,47.2879608,28.5670941
105,105,Mongolia,46 00 N 105 00 E,1,Mongolian,1564116.0,0,"['CHN', 'RUS']",MNG,46.8250388,103.8499736
106,106,Morocco,28 30 N 10 00 W,0,Arabic,716550.0,0,"['DZA', 'MRT', 'MAR', 'ESP']",MAR,31.1728205,-7.3362482
107,107,Mozambique,18 15 S 35 00 E,0,Makhuwa,799380.0,0,"['SWZ', 'MWI', 'ZAF', 'TZA', 'ZMB', 'ZWE']",MOZ,-19.302233,34.9144977
108,108,Namibia,22 00 S 17 00 E,0,Oshiwambo,824292.0,0,"['AGO', 'BWA', 'ZAF', 'ZMB']",NAM,-23.2335499,17.3231107
109,109,Nepal,28 00 N 84 00 E,1,Nepali,147181.0,0,"['CHN', 'IND']",NPL,28.1083929,84.0917139
110,110,Netherlands,52 31 N 5 46 E,0,Dutch,41543.0,0,"['BEL', 'DEU']",NLD,52.2434979,5.6343227
111,111,New Zealand,41 00 S 174 00 E,0,English,268838.0,1,,NZL,-41.5000831,172.8344077
112,112,Nicaragua,13 00 N 85 00 W,0,Spanish,130370.0,0,"['CRI', 'HND']",NIC,12.6090157,-85.2936911
113,113,Niger,16 00 N 8 00 E,1,French,1.267,0,"['DZA', 'BEN', 'BFA', 'TCD', 'LBY', 'MLI', 'NGA']",NER,17.7356214,9.3238432
114,114,Nigeria,10 00 N 8 00 E,0,English,923768.0,0,"['BEN', 'CMR', 'TCD', 'NER']",NGA,9.6000359,7.9999721
115,115,North Macedonia,41 50 N 22 00 E,1,Macedonian,25713.0,0,"['ALB', 'BGR', 'GRC', 'XKX', 'SRB']",MKD,41.6171214,21.7168387
116,116,Norway,62 00 N 10 00 E,0,Bokmal,323802.0,0,"['FIN', 'RUS', 'SWE']",NOR,61.1529386,8.7876653
117,117,Oman,21 00 N 57 00 E,0,Arabic,309500.0,0,"['SAU', 'YEM']",OMN,21.0000287,57.0036901
118,118,Pakistan,30 00 N 70 00 E,0,Punjabi,796095.0,0,"['AFG', 'CHN', 'IND', 'IRN']",PAK,30.3308401,71.247499
119,119,Panama,9 00 N 80 00 W,0,Spanish,75420.0,0,"['COL', 'CRI']",PAN,8.559559,-81.1308434
120,120,Papua New Guinea,6 00 S 147 00 E,0,Tok,462840.0,0,IDN,PNG,-5.6816069,144.2489081
121,121,Paraguay,23 00 S 58 00 W,1,Spanish,406752.0,0,"['ARG', 'BOL', 'BRA']",PRY,-23.3165935,-58.1693445
122,122,Peru,10 00 S 76 00 W,0,Spanish,1285216.0,0,"['BOL', 'BRA', 'CHL', 'COL', 'ECU']",PER,-6.8699697,-75.0458515
123,123,Philippines,13 00 N 122 00 E,0,unspecified,300000.0,1,,PHL,12.7503486,122.7312101
124,124,Poland,52 00 N 20 00 E,0,Polish,312685.0,0,"['BLR', 'CZE', 'DEU', 'LTU', 'RUS', 'UKR']",POL,52.215933,19.134422
125,125,Portugal,39 30 N 8 00 W,0,Portuguese,92090.0,0,ESP,PRT,39.6621648,-8.1353519
126,126,Qatar,25 30 N 51 15 E,0,Arabic,11586.0,0,SAU,QAT,25.3336984,51.2295295
127,127,Romania,46 00 N 25 00 E,0,Romanian,238391.0,0,"['BGR', 'HUN', 'MDA', 'SRB', 'UKR']",ROU,45.9852129,24.6859225
128,128,Russia,60 00 N 100 00 E,0,Russian,17098242.0,0,"['AZE', 'BLR', 'CHN', 'EST', 'FIN', 'KAZ', 'LVA', 'LTU', 'MNG', 'PRK', 'NOR', 'POL', 'UKR']",RUS,64.6863136,97.7453061
129,129,Rwanda,2 00 S 30 00 E,1,Kinyarwanda,26338.0,0,"['BDI', 'COD', 'TZA', 'UGA']",RWA,-1.9646631,30.0644358
130,130,Saint Kitts and Nevis,17 20 N 62 45 W,0,English,261.0,1,,KNA,17.250512,-62.6725973
131,131,Saint Lucia,13 53 N 60 58 W,0,English,616.0,1,,LCA,13.8250489,-60.975036
132,132,Saint Vincent and the Grenadines,13 15 N 61 12 W,0,English,389.0,1,,VCT,12.90447,-61.2765569
133,133,Samoa,13 35 S 172 20 W,0,Samoan,2831.0,1,,WSM,-13.7693895,-172.12005
134,134,Sao Tome and Principe,1 00 N 7 00 E,0,Portuguese,964.0,1,,STP,0.9713095,7.02255
135,135,Saudi Arabia,25 00 N 45 00 E,0,Arabic,2149690.0,0,"['IRQ', 'JOR', 'KWT', 'OMN', 'QAT', 'YEM']",SAU,25.6242618,42.3528328
136,136,Senegal,14 00 N 14 00 W,0,French,196722.0,0,"['GMB', 'GNB', 'MLI', 'MRT']",SEN,14.4750607,-14.4529612
137,137,Seychelles,4 35 S 55 40 E,0,Seychellois,455.0,1,,SYC,-4.6574977,55.4540146
138,138,Sierra Leone,8 30 N 11 30 W,0,English,71740.0,0,"['GIN', 'LBR']",SLE,8.6400349,-11.8400269
139,139,Singapore,1 22 N 103 48 E,0,English,719.0,1,,SGP,1.357107,103.8194992
140,140,Slovakia,48 40 N 19 30 E,1,Slovak,49035.0,0,"['AUT', 'CZE', 'HUN', 'POL', 'UKR']",SVK,48.7411522,19.4528646
141,141,Slovenia,46 07 N 14 49 E,0,Slovene,20273.0,0,"['AUT', 'HRV', 'HUN', 'ITA']",SVN,46.1199444,14.8153333
142,142,Solomon Islands,8 00 S 159 00 E,0,Melanesian,28896.0,1,,SLB,-8.7053941,159.1070693851845
143,143,Somalia,10 00 N 49 00 E,0,Somali,637657.0,0,"['DJI', 'ETH', 'KEN']",SOM,8.3676771,49.083416
144,144,South Africa,29 00 S 24 00 E,0,isiZulu,1219090.0,0,"['BWA', 'SWZ', 'LSO', 'MOZ', 'NAM', 'ZWE']",ZAF,-28.8166236,24.991639
145,145,Spain,40 00 N 4 00 W,0,Castilian,505370.0,0,"['AND', 'FRA', 'GIB', 'MAR', 'PRT']",ESP,39.3260685,-4.8379791
146,146,Sri Lanka,7 00 N 81 00 E,0,Sinhala,65610.0,1,,LKA,7.877395849999999,80.66247852355892
147,147,Sudan,15 00 N 30 00 E,0,Arabic,1861484.0,0,"['CAF', 'TCD', 'EGY', 'ERI', 'ETH', 'LBY', 'SSD']",SDN,14.5844444,29.4917691
148,148,Suriname,4 00 N 56 00 W,0,Dutch,163820.0,0,"['BRA', 'GUF', 'GUY']",SUR,4.1413025,-56.0771187
149,149,Sweden,62 00 N 15 00 E,0,Swedish,450295.0,0,"['FIN', 'NOR']",SWE,59.6749712,14.5208584
150,150,Switzerland,47 00 N 8 00 E,1,German,41277.0,0,"['AUT', 'FRA', 'DEU', 'ITA', 'LIE']",CHE,46.7985624,8.2319736
151,151,Syria,35 00 N 38 00 E,0,Arabic,187437.0,0,"['IRQ', 'ISR', 'JOR', 'LBN', 'TUR']",SYR,34.6401861,39.0494106
152,152,Tajikistan,39 00 N 71 00 E,1,Tajik,144100.0,0,"['AFG', 'CHN', 'KGZ', 'UZB']",TJK,38.6281733,70.8156541
153,153,Tanzania,6 00 S 35 00 E,0,Kiswahili,947300.0,0,"['BDI', 'COD', 'KEN', 'MWI', 'MOZ', 'RWA', 'UGA', 'ZMB']",TZA,-6.5247123,35.7878438
154,154,Thailand,15 00 N 100 00 E,0,Thai,513120.0,0,"['KHM', 'LAO', 'MYS', 'MMR']",THA,14.8971921,100.83273
155,155,Togo,8 00 N 1 10 E,0,French,56785.0,0,"['BEN', 'BFA', 'GHA']",TGO,8.7800265,1.0199765
156,156,Tonga,20 00 S 175 00 W,0,Tongan,747.0,1,,TON,-19.9160819,-175.202642
157,157,Trinidad and Tobago,11 00 N 61 00 W,0,English,5128.0,1,,TTO,10.7466905,-61.0840075
158,158,Tunisia,34 00 N 9 00 E,0,Arabic,163610.0,0,"['DZA', 'LBY']",TUN,33.8439408,9.400138
159,159,Turkey (Turkiye),39 00 N 35 00 E,0,Turkish,783562.0,0,"['ARM', 'AZE', 'BGR', 'GEO', 'GRC', 'IRN', 'IRQ', 'SYR']",TUR,38.9597594,34.9249653
160,160,Turkmenistan,40 00 N 60 00 E,1,Turkmen,488100.0,0,"['AFG', 'IRN', 'KAZ', 'UZB']",TKM,39.3763807,59.3924609
161,161,Uganda,1 00 N 32 00 E,1,English,241038.0,0,"['COD', 'KEN', 'RWA', 'SSD', 'TZA']",UGA,1.5333554,32.2166578
162,162,Ukraine,49 00 N 32 00 E,0,Ukrainian,603550.0,0,"['BLR', 'HUN', 'MDA', 'POL', 'ROU', 'RUS', 'SVK']",UKR,49.4871968,31.2718321
163,163,United Arab Emirates,24 00 N 54 00 E,0,Arabic,83600.0,0,"['OMN', 'SAU']",ARE,24.0002488,53.9994829
164,164,United Kingdom,54 00 N 2 00 W,0,Englishnote:,243610.0,0,IRL,GBR,54.7023545,-3.2765753
165,165,United States,38 00 N 97 00 W,0,English,9833517.0,0,"['CAN', 'CUB', 'MEX']",USA,39.7837304,-100.445882
166,166,Uruguay,33 00 S 56 00 W,0,Spanish,176215.0,0,"['ARG', 'BRA']",URY,-32.8755548,-56.0201525
167,167,Uzbekistan,41 00 N 64 00 E,1,Uzbek,447400.0,0,"['AFG', 'KAZ', 'KGZ', 'TJK']",UZB,41.32373,63.9528098
168,168,Vanuatu,16 00 S 167 00 E,0,local,12189.0,1,,VUT,-16.5255069,168.1069154
169,169,Venezuela,8 00 N 66 00 W,0,Spanish,912050.0,0,"['BRA', 'COL', 'GUY']",VEN,8.0018709,-66.1109318
170,170,Vietnam,16 10 N 107 50 E,0,Vietnamese,331210.0,0,"['KHM', 'CHN', 'LAO']",VNM,15.9266657,107.9650855
171,171,Yemen,15 00 N 48 00 E,0,Arabic,527968.0,0,"['OMN', 'SAU']",YEM,16.3471243,47.8915271
172,172,Zambia,15 00 S 30 00 E,1,Bemba,752618.0,0,"['AGO', 'BWA', 'COD', 'MWI', 'MOZ', 'NAM', 'TZA', 'ZWE']",ZMB,-14.5189121,27.5589884
173,173,Zimbabwe,20 00 S 30 00 E,1,Shona,390757.0,0,"['BWA', 'MOZ', 'ZAF', 'ZMB']",ZWE,-18.4554963,29.7468414
